#Electron Neutrino Suvival Probability Scenario: Accreation Burrows 
#E [MeV], Pee, Peebar
1.000000000000000000e+00,1.586698962947652447e-02,9.657698352248371698e-01
1.500000000000000000e+00,1.766348052681887548e-02,9.638473103921849638e-01
2.000000000000000000e+00,2.006807908205288093e-02,9.838188528067626226e-01
2.500000000000000000e+00,1.981851979912541140e-02,9.918321104367779917e-01
3.000000000000000000e+00,2.076601037837488839e-02,8.449642927436756823e-01
3.500000000000000000e+00,2.068437994262284363e-02,3.307908769812978322e-02
4.000000000000000000e+00,2.212300103873610091e-02,4.121326982295248076e-02
4.500000000000000000e+00,1.868357696272349155e-02,2.265129253423631139e-02
5.000000000000000000e+00,7.600545550163695374e-02,2.187506508116071613e-02
5.500000000000000000e+00,4.368938607122609952e-01,2.262544066273020071e-02
6.000000000000000000e+00,9.000227363353499044e-01,2.124749734388264866e-02
6.500000000000000000e+00,9.901467851286489541e-01,2.192635176149415610e-02
7.000000000000000000e+00,9.806861419451385897e-01,2.131704467573242168e-02
7.500000000000000000e+00,9.781958951433604721e-01,2.130664761199563273e-02
8.000000000000000000e+00,9.781216323736643403e-01,2.221781470523642721e-02
8.500000000000000000e+00,9.783099159776142972e-01,2.210638205419485081e-02
9.000000000000000000e+00,9.783590726354678413e-01,2.195659606989563972e-02
9.500000000000000000e+00,9.783410035753334899e-01,2.169195234660070692e-02
1.000000000000000000e+01,9.781604215722052853e-01,2.150396596123071991e-02
1.050000000000000000e+01,9.782681681746916436e-01,2.151393914897409276e-02
1.100000000000000000e+01,9.784165458243678781e-01,2.165745094451843045e-02
1.150000000000000000e+01,9.780627353537498792e-01,2.202565202752682083e-02
1.200000000000000000e+01,9.784015666913485898e-01,2.153794711519924077e-02
1.250000000000000000e+01,9.781055436444999751e-01,2.198194996117591726e-02
1.300000000000000000e+01,9.781102786479938249e-01,2.182011977318071283e-02
1.350000000000000000e+01,9.782692745174110804e-01,2.159246523804747575e-02
1.400000000000000000e+01,9.783425339367446405e-01,2.158063603719978518e-02
1.450000000000000000e+01,9.783472680989890868e-01,2.160389417416425095e-02
1.500000000000000000e+01,9.782978858511250930e-01,2.159863379239462811e-02
1.550000000000000000e+01,9.781812490502538315e-01,2.161266657555938053e-02
1.600000000000000000e+01,9.780734473100882731e-01,2.173610788919738690e-02
1.650000000000000000e+01,9.781711083402561124e-01,2.191682480871742777e-02
1.700000000000000000e+01,9.783717277964381065e-01,2.185174630097302950e-02
1.750000000000000000e+01,9.782105138155564594e-01,2.162650468620408439e-02
1.800000000000000000e+01,9.781178234357126300e-01,2.182371958471784890e-02
1.850000000000000000e+01,9.783683141504302405e-01,2.184599002642828580e-02
1.900000000000000000e+01,9.781071890940878921e-01,2.164628717912520095e-02
1.950000000000000000e+01,9.783120219197618539e-01,2.192160333729498145e-02
2.000000000000000000e+01,9.781606990910289845e-01,2.163337848152685483e-02
2.050000000000000000e+01,9.782894852939580943e-01,2.191722791960548644e-02
2.100000000000000000e+01,9.781468537823745368e-01,2.163296428436806140e-02
2.150000000000000000e+01,9.783316742007583944e-01,2.192209737244454892e-02
2.200000000000000000e+01,9.780953828746377088e-01,2.164178199666016988e-02
2.250000000000000000e+01,9.783564810690905666e-01,2.187018619224317950e-02
2.300000000000000000e+01,9.781414191899056032e-01,2.176176629391013417e-02
2.350000000000000000e+01,9.782148339714464846e-01,2.169178111469310943e-02
2.400000000000000000e+01,9.783360934694378397e-01,2.192608247470279048e-02
2.450000000000000000e+01,9.780909465264120417e-01,2.166031917600491630e-02
2.500000000000000000e+01,9.782619493908825126e-01,2.175727269765831418e-02
2.550000000000000000e+01,9.783334334950651856e-01,2.192235169232786829e-02
2.600000000000000000e+01,9.780937706390380182e-01,2.166100203042636840e-02
2.650000000000000000e+01,9.782042071128806970e-01,2.171256946640831575e-02
2.700000000000000000e+01,9.783764128893671641e-01,2.193868080086119887e-02
2.750000000000000000e+01,9.781814656926330898e-01,2.176147202502370925e-02
2.800000000000000000e+01,9.780799930344232784e-01,2.161330973811792511e-02
2.850000000000000000e+01,9.782979346799135500e-01,2.183248683872501816e-02
2.900000000000000000e+01,9.783718426742752383e-01,2.193785893655347818e-02
2.950000000000000000e+01,9.781551853630263693e-01,2.171615648583868907e-02
3.000000000000000000e+01,9.780618249881711801e-01,2.160496036410602949e-02
3.050000000000000000e+01,9.782576356132035578e-01,2.180540855062823580e-02
3.100000000000000000e+01,9.784059047439683798e-01,2.196087832124904438e-02
3.150000000000000000e+01,9.782685758971318979e-01,2.181697399317450436e-02
3.200000000000000000e+01,9.780590441992635942e-01,2.160650116887025129e-02
3.250000000000000000e+01,9.780810396338341928e-01,2.164199362557034378e-02
3.300000000000000000e+01,9.783011404660566512e-01,2.186663237605973586e-02
