#Electron Neutrino Suvival Probability Scenario: Accreation Energy Hierarchy 
#E [MeV], Pee, Peebar
1.000000000000000000e+00,2.257625025586795786e-02,1.059365144883711585e-02
1.500000000000000000e+00,1.905092051693491051e-02,6.502538350585823634e-02
2.000000000000000000e+00,2.206702331485588253e-02,9.140826650129618702e-02
2.500000000000000000e+00,2.012120105961645589e-02,4.890873092234793162e-04
3.000000000000000000e+00,2.308573062702734546e-02,1.008775233458586440e-02
3.500000000000000000e+00,2.270227853457962297e-02,1.266680133419195720e-02
4.000000000000000000e+00,2.261228875722887111e-02,2.323179365373284622e-02
4.500000000000000000e+00,2.248260613986041712e-02,1.880426323980854963e-02
5.000000000000000000e+00,2.147348556452643997e-02,2.572031457950119115e-02
5.500000000000000000e+00,2.137964229782796099e-02,2.345263474792458336e-02
6.000000000000000000e+00,2.034056172112619354e-02,2.189085000565188510e-02
6.500000000000000000e+00,1.566016556181470953e-02,2.096153140355633271e-02
7.000000000000000000e+00,1.418635790552102982e-02,2.213052535906295804e-02
7.500000000000000000e+00,3.528781929897999436e-01,2.108239836854003402e-02
8.000000000000000000e+00,7.169405941695805584e-01,2.099084505299164682e-02
8.500000000000000000e+00,9.832035897503634825e-01,2.157643602511094549e-02
9.000000000000000000e+00,9.653432642381489792e-01,2.186881040231275497e-02
9.500000000000000000e+00,9.754820726313180312e-01,2.243712354458038405e-02
1.000000000000000000e+01,9.776446042300727113e-01,2.236357858773480034e-02
1.050000000000000000e+01,9.779563742745098764e-01,2.171243067731659648e-02
1.100000000000000000e+01,9.783583480016374567e-01,2.155991387736833076e-02
1.150000000000000000e+01,9.780149228767140990e-01,2.202049875517325672e-02
1.200000000000000000e+01,9.779801930497293849e-01,2.202826893908971240e-02
1.250000000000000000e+01,9.781384533828269001e-01,2.145440448816460233e-02
1.300000000000000000e+01,9.782153180835336803e-01,2.147348871508036883e-02
1.350000000000000000e+01,9.782055605598283243e-01,2.159275931250115299e-02
1.400000000000000000e+01,9.781220746365514307e-01,2.158780739469623455e-02
1.450000000000000000e+01,9.780081273269578546e-01,2.150493450504942228e-02
1.500000000000000000e+01,9.780310036538339968e-01,2.154208374784033486e-02
1.550000000000000000e+01,9.782573551559536895e-01,2.188189347376628957e-02
1.600000000000000000e+01,9.782532223681931205e-01,2.212472620679467594e-02
1.650000000000000000e+01,9.780033204258680168e-01,2.170567159524405820e-02
1.700000000000000000e+01,9.782494523913334294e-01,2.165430273406726558e-02
1.750000000000000000e+01,9.781600831455887768e-01,2.209990424247032514e-02
1.800000000000000000e+01,9.780998197302350761e-01,2.158330005033931576e-02
1.850000000000000000e+01,9.782516552745363914e-01,2.199749288564795124e-02
1.900000000000000000e+01,9.780667955379547251e-01,2.169732988960998421e-02
1.950000000000000000e+01,9.782431873767645225e-01,2.194303855537022008e-02
2.000000000000000000e+01,9.781176321204895219e-01,2.168038594363314031e-02
2.050000000000000000e+01,9.781501273008801345e-01,2.201651998712189640e-02
2.100000000000000000e+01,9.782482307939370791e-01,2.158906866328574869e-02
2.150000000000000000e+01,9.780246470168810768e-01,2.205882117732477221e-02
2.200000000000000000e+01,9.782952979782533198e-01,2.167836457391469906e-02
2.250000000000000000e+01,9.781281603221616550e-01,2.179891750277157536e-02
2.300000000000000000e+01,9.780677308675209680e-01,2.202145807680544465e-02
2.350000000000000000e+01,9.783128358339594488e-01,2.160387744078401395e-02
2.400000000000000000e+01,9.781265541673245245e-01,2.186171289149679842e-02
2.450000000000000000e+01,9.780397008629747591e-01,2.201867529049000849e-02
2.500000000000000000e+01,9.782882161858885706e-01,2.163755703028635846e-02
2.550000000000000000e+01,9.782337166000034667e-01,2.174582980825878753e-02
2.600000000000000000e+01,9.780139112259139678e-01,2.205117406662865376e-02
2.650000000000000000e+01,9.781325296687508608e-01,2.182856516269499059e-02
2.700000000000000000e+01,9.783244350105446685e-01,2.159910220903693556e-02
2.750000000000000000e+01,9.782018000085729303e-01,2.183862246481332869e-02
2.800000000000000000e+01,9.780116161367924388e-01,2.205109949732292351e-02
2.850000000000000000e+01,9.780940748664612716e-01,2.184846856200262089e-02
2.900000000000000000e+01,9.782965911691672289e-01,2.160554287235744164e-02
2.950000000000000000e+01,9.782973058064328153e-01,2.171997566031341753e-02
3.000000000000000000e+01,9.781079043513051241e-01,2.199802935356187650e-02
3.050000000000000000e+01,9.779981843071814396e-01,2.202988947007844533e-02
3.100000000000000000e+01,9.781035627636287533e-01,2.178144462542486171e-02
3.150000000000000000e+01,9.782871602884438689e-01,2.158245747918369206e-02
3.200000000000000000e+01,9.783403622744513140e-01,2.167533386433900811e-02
3.250000000000000000e+01,9.782116742930595521e-01,2.194835776190506849e-02
3.300000000000000000e+01,9.780314547585704510e-01,2.210046637950802140e-02
3.350000000000000000e+01,9.779674209738409285e-01,2.197298704981576201e-02
3.400000000000000000e+01,9.780775470867157928e-01,2.168994434998494647e-02
3.450000000000000000e+01,9.782754272612681490e-01,2.151547491792737965e-02
3.500000000000000000e+01,9.784079931460507584e-01,2.160787979978234796e-02
3.550000000000000000e+01,9.783704708088920565e-01,2.189529541835122384e-02
3.600000000000000000e+01,9.781772145656054684e-01,2.215104936856854279e-02
3.650000000000000000e+01,9.779493089671091877e-01,2.217769888013776391e-02
3.700000000000000000e+01,9.778353439078200093e-01,2.194827347740413437e-02
3.750000000000000000e+01,9.779188945522232501e-01,2.161352090093637823e-02
3.800000000000000000e+01,9.781681243946100945e-01,2.139115332662622215e-02
3.850000000000000000e+01,9.784534559833868439e-01,2.142511202683400340e-02
3.900000000000000000e+01,9.786188879958526154e-01,2.170427934327578967e-02
3.950000000000000000e+01,9.785649444743446113e-01,2.207854571300743585e-02
4.000000000000000000e+01,9.782994589631653914e-01,2.234888807038426517e-02
4.050000000000000000e+01,9.779333755587829025e-01,2.237318376919150698e-02
4.100000000000000000e+01,9.776280887838892930e-01,2.213241394190390565e-02
4.150000000000000000e+01,9.775227108949205990e-01,2.173149688313485983e-02
4.200000000000000000e+01,9.776750933959948986e-01,2.134414448056426439e-02
