#Electron Neutrino Suvival Probability Scenario: Accreation II Kiel 
#E [MeV], Pee, Peebar
1.000000000000000000e+00,2.624559712028795566e-02,9.952884132153854146e-01
1.500000000000000000e+00,2.099379525916122979e-02,2.274535031823674558e-01
2.000000000000000000e+00,2.318096249129930619e-02,6.272595011799619868e-02
2.500000000000000000e+00,2.264908632457485194e-02,2.098350053363151613e-02
3.000000000000000000e+00,2.246767501208624118e-02,2.378192225137365501e-02
3.500000000000000000e+00,2.148763576285461774e-02,2.244700365855695212e-02
4.000000000000000000e+00,2.164351230011596350e-02,2.260167015090791542e-02
4.500000000000000000e+00,2.224633391303454388e-02,2.216069151196353726e-02
5.000000000000000000e+00,2.136858846929767797e-02,2.144629155798777331e-02
5.500000000000000000e+00,3.259979321490236170e-02,2.193537933549455365e-02
6.000000000000000000e+00,3.191093934307949187e-01,2.187812513421666383e-02
6.500000000000000000e+00,9.072347745787531226e-01,2.195648867952110228e-02
7.000000000000000000e+00,9.411541673541840014e-01,2.193377405467789032e-02
7.500000000000000000e+00,9.745515754221876215e-01,2.198594074705240153e-02
8.000000000000000000e+00,9.779007830565550341e-01,2.188698654287041245e-02
8.500000000000000000e+00,9.782851713080730205e-01,2.195882187596986945e-02
9.000000000000000000e+00,9.783691963073415376e-01,2.171206198148367683e-02
9.500000000000000000e+00,9.782728642555522658e-01,2.193041271573842321e-02
1.000000000000000000e+01,9.783057518386260032e-01,2.193719563813678608e-02
1.050000000000000000e+01,9.783145325179676277e-01,2.188202747989365093e-02
1.100000000000000000e+01,9.781628948481556618e-01,2.170369058160276365e-02
1.150000000000000000e+01,9.783124740872155556e-01,2.189044572541243294e-02
1.200000000000000000e+01,9.782223103739804415e-01,2.171293525382927969e-02
1.250000000000000000e+01,9.781644245983496244e-01,2.183596649724500738e-02
1.300000000000000000e+01,9.781986775360906883e-01,2.189042887320491459e-02
1.350000000000000000e+01,9.782221578169436604e-01,2.186650918554644552e-02
1.400000000000000000e+01,9.782158935065980998e-01,2.185224771699395552e-02
1.450000000000000000e+01,9.781879518840619347e-01,2.186407251091349035e-02
1.500000000000000000e+01,9.781679682496721151e-01,2.187951098980162046e-02
1.550000000000000000e+01,9.782082437153827303e-01,2.184702720406295207e-02
1.600000000000000000e+01,9.782768623297154464e-01,2.175988172448872771e-02
1.650000000000000000e+01,9.782274483716713043e-01,2.175869613553549353e-02
1.700000000000000000e+01,9.781732041079418405e-01,2.186231745942524007e-02
1.750000000000000000e+01,9.782713766596942140e-01,2.179245548229585827e-02
1.800000000000000000e+01,9.781929671320387376e-01,2.177284059021916685e-02
1.850000000000000000e+01,9.782279824230091236e-01,2.185464423128291589e-02
1.900000000000000000e+01,9.782248172894438820e-01,2.174704537495336654e-02
1.950000000000000000e+01,9.782114359225944078e-01,2.185937887414146630e-02
2.000000000000000000e+01,9.782221110960580557e-01,2.174749965844918753e-02
2.050000000000000000e+01,9.782277441790054873e-01,2.185662387309084131e-02
2.100000000000000000e+01,9.781911370269982253e-01,2.175494641393438400e-02
2.150000000000000000e+01,9.782619182858807161e-01,2.183437612427852059e-02
2.200000000000000000e+01,9.781673882717123458e-01,2.179835688446019049e-02
2.250000000000000000e+01,9.782498865285478296e-01,2.177205198218029603e-02
2.300000000000000000e+01,9.782227544819492859e-01,2.185432941051651534e-02
2.350000000000000000e+01,9.781728517987258176e-01,2.176063910681835800e-02
2.400000000000000000e+01,9.782592850487772385e-01,2.179741903743942499e-02
2.450000000000000000e+01,9.782188136872724815e-01,2.184965377932118757e-02
2.500000000000000000e+01,9.781680040297099366e-01,2.176167134603040898e-02
2.550000000000000000e+01,9.782439969233334143e-01,2.178276825372316150e-02
2.600000000000000000e+01,9.782484621669147451e-01,2.185351864931517341e-02
2.650000000000000000e+01,9.781722308263212096e-01,2.179487211761788057e-02
2.700000000000000000e+01,9.781913576326817239e-01,2.175062612735145784e-02
2.750000000000000000e+01,9.782606009508216793e-01,2.181836606335724182e-02
2.800000000000000000e+01,9.782368944365849028e-01,2.184962158663211751e-02
2.850000000000000000e+01,9.781691955178768438e-01,2.178428263950737964e-02
2.900000000000000000e+01,9.781815752653051366e-01,2.175009691851198523e-02
2.950000000000000000e+01,9.782490068216667112e-01,2.180537118095932092e-02
3.000000000000000000e+01,9.782598972271986382e-01,2.185223129117175311e-02
3.050000000000000000e+01,9.781999795360987182e-01,2.181731384516838457e-02
3.100000000000000000e+01,9.781586087892792936e-01,2.175767344651269308e-02
3.150000000000000000e+01,9.781910300692588933e-01,2.175858484995490949e-02
3.200000000000000000e+01,9.782518378173594709e-01,2.181478656999713550e-02
3.250000000000000000e+01,9.782654696718455778e-01,2.185200707620493787e-02
3.300000000000000000e+01,9.782183036729237280e-01,2.182718493177598917e-02
3.350000000000000000e+01,9.781645392521554072e-01,2.177216934747061572e-02
3.400000000000000000e+01,9.781598889956879539e-01,2.174738861187602845e-02
3.450000000000000000e+01,9.782064190204673437e-01,2.177581774849030039e-02
3.500000000000000000e+01,9.782583950757475222e-01,2.182684674238977163e-02
3.550000000000000000e+01,9.782697423369464129e-01,2.185276672074376592e-02
3.600000000000000000e+01,9.782328712018395489e-01,2.183281755374455457e-02
3.650000000000000000e+01,9.781792361201524511e-01,2.178605163138636058e-02
3.700000000000000000e+01,9.781499019766544123e-01,2.175027549346791877e-02
3.750000000000000000e+01,9.781645608734604869e-01,2.175110178895328650e-02
3.800000000000000000e+01,9.782110393869514198e-01,2.178572817933904782e-02
3.850000000000000000e+01,9.782577104875782581e-01,2.182910023207168537e-02
3.900000000000000000e+01,9.782758463897431866e-01,2.185323663270044570e-02
3.950000000000000000e+01,9.782562009701532002e-01,2.184468018968171998e-02
4.000000000000000000e+01,9.782115270056811474e-01,2.181017027383969076e-02
4.050000000000000000e+01,9.781667079989537772e-01,2.176999701423798506e-02
4.100000000000000000e+01,9.781443627676950081e-01,2.174537550622074322e-02
4.150000000000000000e+01,9.781541070908257307e-01,2.174765789624560908e-02
4.200000000000000000e+01,9.781898291148494184e-01,2.177427621339345087e-02
4.250000000000000000e+01,9.782345239525143121e-01,2.181185413016983876e-02
4.300000000000000000e+01,9.782689809926836677e-01,2.184354636446333986e-02
4.350000000000000000e+01,9.782798850879473873e-01,2.185655483569304280e-02
4.400000000000000000e+01,9.782642120969167188e-01,2.184669956428741955e-02
4.450000000000000000e+01,9.782290003534761524e-01,2.181886585390163669e-02
4.500000000000000000e+01,9.781875304979360530e-01,2.178401575139693458e-02
4.550000000000000000e+01,9.781539886172492260e-01,2.175454801189535825e-02
4.600000000000000000e+01,9.781387185113328275e-01,2.173994676361107325e-02
4.650000000000000000e+01,9.781454795606350228e-01,2.174410275755350730e-02
4.700000000000000000e+01,9.781711604767253654e-01,2.176482432515347565e-02
4.750000000000000000e+01,9.782075473221358841e-01,2.179525311641211660e-02
4.800000000000000000e+01,9.782442357697092028e-01,2.182639541536141037e-02
4.850000000000000000e+01,9.782716637659596426e-01,2.184983915204635752e-02
4.900000000000000000e+01,9.782834404058458055e-01,2.185988571369507083e-02
4.950000000000000000e+01,9.782775154202454360e-01,2.185465408653020081e-02
