#Electron Neutrino Suvival Probability Scenario: Accreation No Energy Hierarchy 
#E [MeV], Pee, Peebar
1.000000000000000000e+00,2.182494139042789882e-02,7.550809569721517178e-02
1.500000000000000000e+00,1.811409189019086430e-02,1.555667045670894311e-03
2.000000000000000000e+00,2.604959192118294631e-02,1.749001077759398948e-02
2.500000000000000000e+00,2.559633045337372792e-02,5.781676915181988008e-02
3.000000000000000000e+00,2.216790478622809868e-02,5.400945921116812043e-02
3.500000000000000000e+00,2.313722080293501016e-02,2.087187168398485504e-02
4.000000000000000000e+00,2.000262763392490761e-02,1.263765471304018062e-02
4.500000000000000000e+00,2.296756226757556973e-02,8.312408991578312811e-03
5.000000000000000000e+00,2.307852606192817291e-02,2.932060346913600846e-02
5.500000000000000000e+00,2.210816854228414563e-02,2.086047615210517847e-02
6.000000000000000000e+00,2.264864716948900014e-02,2.049525822983649936e-02
6.500000000000000000e+00,2.215553782737034183e-02,2.166816002734689439e-02
7.000000000000000000e+00,2.089642780895162311e-02,1.757989781800789464e-02
7.500000000000000000e+00,2.768526461009568340e-02,2.228546683510101989e-02
8.000000000000000000e+00,1.263183030048509181e-02,1.831120771207600528e-02
8.500000000000000000e+00,1.445871769902951076e-01,2.083253991129807581e-02
9.000000000000000000e+00,2.328322527254137464e-01,2.322996519690156969e-02
9.500000000000000000e+00,6.774596054540075185e-01,2.424514801782540196e-02
1.000000000000000000e+01,8.609208755774324651e-01,2.388668873497301615e-02
1.050000000000000000e+01,9.237981007160309677e-01,2.377402602955752675e-02
1.100000000000000000e+01,9.880056701614163828e-01,1.997880571293481067e-02
1.150000000000000000e+01,9.724833894648812205e-01,2.353450457090539016e-02
1.200000000000000000e+01,9.805730537463077656e-01,2.008165289011409893e-02
1.250000000000000000e+01,9.778404271830191119e-01,2.164723235669557821e-02
1.300000000000000000e+01,9.780734125254826328e-01,2.319351487271359424e-02
1.350000000000000000e+01,9.783495962825314862e-01,2.340999387589948189e-02
1.400000000000000000e+01,9.782304487128915538e-01,2.334445376701699271e-02
1.450000000000000000e+01,9.779235083977388943e-01,2.314541887529730779e-02
1.500000000000000000e+01,9.778362312410053825e-01,2.228225078697798622e-02
1.550000000000000000e+01,9.783041046650480244e-01,2.082487539495142537e-02
1.600000000000000000e+01,9.784583630607822657e-01,2.085562629557485836e-02
1.650000000000000000e+01,9.778641525521185596e-01,2.288098261924087495e-02
1.700000000000000000e+01,9.782843142152821692e-01,2.201401209249248536e-02
1.750000000000000000e+01,9.782636259651411592e-01,2.077343513850637979e-02
1.800000000000000000e+01,9.779819293253879664e-01,2.304431610764712257e-02
1.850000000000000000e+01,9.784239882811478495e-01,2.076294342453172126e-02
1.900000000000000000e+01,9.779239226898838178e-01,2.271424722802334317e-02
1.950000000000000000e+01,9.784143200929402706e-01,2.098443450730769211e-02
2.000000000000000000e+01,9.780092342471546907e-01,2.274050332027471866e-02
2.050000000000000000e+01,9.782322963094547408e-01,2.075413626909311526e-02
2.100000000000000000e+01,9.782978487681781576e-01,2.298976195301866143e-02
2.150000000000000000e+01,9.779017928162485607e-01,2.080145589034615439e-02
2.200000000000000000e+01,9.785107894415834284e-01,2.230326560899981159e-02
2.250000000000000000e+01,9.780059111430704499e-01,2.221539054334398244e-02
2.300000000000000000e+01,9.780553829241414032e-01,2.070369151914236427e-02
2.350000000000000000e+01,9.785067858668005103e-01,2.286711362675769577e-02
2.400000000000000000e+01,9.780131725494393136e-01,2.183780773245069806e-02
2.450000000000000000e+01,9.779696404168330970e-01,2.072100223519035556e-02
2.500000000000000000e+01,9.784983187888229850e-01,2.271045043086139525e-02
2.550000000000000000e+01,9.782559549757356976e-01,2.235198019716760909e-02
2.600000000000000000e+01,9.778095980498182627e-01,2.068721183492777671e-02
2.650000000000000000e+01,9.782014644824543748e-01,2.172516466155954840e-02
2.700000000000000000e+01,9.785888594034473087e-01,2.291393706893513071e-02
2.750000000000000000e+01,9.781341377081276267e-01,2.182023179154340964e-02
2.800000000000000000e+01,9.777411836986793503e-01,2.083532184272940402e-02
2.850000000000000000e+01,9.781895602146197799e-01,2.164339948172233630e-02
2.900000000000000000e+01,9.786533967601529493e-01,2.261900328988936115e-02
2.950000000000000000e+01,9.782906598837948220e-01,2.232038615958298333e-02
3.000000000000000000e+01,9.777197276068261278e-01,2.141535658596233072e-02
3.050000000000000000e+01,9.778960770170579409e-01,2.108098709259442760e-02
3.100000000000000000e+01,9.785496431200850775e-01,2.155245654876886130e-02
3.150000000000000000e+01,9.786702037846731761e-01,2.229758305078738401e-02
3.200000000000000000e+01,9.780502986301140567e-01,2.264836793090363454e-02
3.250000000000000000e+01,9.775505009888664221e-01,2.222848117813330804e-02
3.300000000000000000e+01,9.778848043389942735e-01,2.127826963820711459e-02
3.350000000000000000e+01,9.786852317725689421e-01,2.062628293654494849e-02
3.400000000000000000e+01,9.789742589829423247e-01,2.102312439182335568e-02
3.450000000000000000e+01,9.783307650683020773e-01,2.233645110658860622e-02
3.500000000000000000e+01,9.773672479341743990e-01,2.349880298065237794e-02
3.550000000000000000e+01,9.770827722537587245e-01,2.339741966959818509e-02
3.600000000000000000e+01,9.778591003066241516e-01,2.190383763256742444e-02
3.650000000000000000e+01,9.790930888392471720e-01,2.007907958160526363e-02
3.700000000000000000e+01,9.797312237212857378e-01,1.936562791665291661e-02
3.750000000000000000e+01,9.791574670345957188e-01,2.046033922943252259e-02
3.800000000000000000e+01,9.776824611104346641e-01,2.276861148738823504e-02
3.850000000000000000e+01,9.763047629364911550e-01,2.481064001041555223e-02
3.900000000000000000e+01,9.759963769980264381e-01,2.522253133338936415e-02
3.950000000000000000e+01,9.770532769463503575e-01,2.363265122234076143e-02
4.000000000000000000e+01,9.789225588467452832e-01,2.087035380856910871e-02
4.050000000000000000e+01,9.805552722010443256e-01,1.845171011379131976e-02
4.100000000000000000e+01,9.810161059130920735e-01,1.771754056596142046e-02
4.150000000000000000e+01,9.799819404604153128e-01,1.913411387382774054e-02
4.200000000000000000e+01,9.778823252741400962e-01,2.209899072192172964e-02
4.250000000000000000e+01,9.756583804661261849e-01,2.528326157635896188e-02
4.300000000000000000e+01,9.743048427478280260e-01,2.727801471792828947e-02
4.350000000000000000e+01,9.744312155828449562e-01,2.721289638789170517e-02
4.400000000000000000e+01,9.760283795837089160e-01,2.508470677443597197e-02
4.450000000000000000e+01,9.785081349754715108e-01,2.170186670272061802e-02
4.500000000000000000e+01,9.809619465831879159e-01,1.832155736857099537e-02
4.550000000000000000e+01,9.825108583000984330e-01,1.616057842103502118e-02
4.600000000000000000e+01,9.826081078192332452e-01,1.597460132759476181e-02
4.650000000000000000e+01,9.811974693718912288e-01,1.784085402257862274e-02
4.700000000000000000e+01,9.786963057256989895e-01,2.118572957555153735e-02
4.750000000000000000e+01,9.758343416117256641e-01,2.501173154242247731e-02
4.800000000000000000e+01,9.734180687609539362e-01,2.822453140255082316e-02
4.850000000000000000e+01,9.720999951143067808e-01,2.994935325237313428e-02
4.900000000000000000e+01,9.722161312688203383e-01,2.974951076070181388e-02
4.950000000000000000e+01,9.737248895183037156e-01,2.770312202199975982e-02
