#Electron Neutrino Suvival Probability Scenario: Cooling 
#E [MeV], Pee, Peebar
1.000000000000000000e+00,1.049478340164666790e-02,2.539383531484182832e-01
1.500000000000000000e+00,3.643668097703678388e-02,3.208691940881580607e-03
2.000000000000000000e+00,1.659651000148198996e-02,1.107525169680211308e-01
2.500000000000000000e+00,1.269382187754075630e-02,1.827457491347982965e-01
3.000000000000000000e+00,1.379588675167142675e-02,3.928287395107801228e-01
3.500000000000000000e+00,2.203012588552955009e-02,6.564429867640204641e-01
4.000000000000000000e+00,2.654499451053160541e-02,6.911720593224446318e-01
4.500000000000000000e+00,3.324770162964996167e-02,8.308252407650126292e-01
5.000000000000000000e+00,3.415216367811655385e-01,9.956505549935060762e-01
5.500000000000000000e+00,8.121577086711709859e-01,9.625515032454485809e-01
6.000000000000000000e+00,9.956381818623774027e-01,9.866833803343222353e-01
6.500000000000000000e+00,9.765357947220989487e-01,9.696793620631096733e-01
7.000000000000000000e+00,9.765424936470490369e-01,9.832609442288307022e-01
7.500000000000000000e+00,9.776023334148669086e-01,9.802437528117339260e-01
8.000000000000000000e+00,9.771629716778504893e-01,9.792711830002959195e-01
8.500000000000000000e+00,9.769067345344664144e-01,9.767192786481013744e-01
9.000000000000000000e+00,9.786311124871307499e-01,9.791666132211036544e-01
9.500000000000000000e+00,9.771282907376895865e-01,9.781209420603604876e-01
1.000000000000000000e+01,9.773073343949425507e-01,9.774008999064032199e-01
1.050000000000000000e+01,9.776586141739440627e-01,9.779607004486141619e-01
1.100000000000000000e+01,9.789189839024003970e-01,9.787541382151121461e-01
1.150000000000000000e+01,9.774987129561403254e-01,9.784938060605947729e-01
1.200000000000000000e+01,9.784827797576676200e-01,9.776138942236225482e-01
1.250000000000000000e+01,9.787025441345758026e-01,9.781413349984517946e-01
1.300000000000000000e+01,9.790711905582627494e-01,9.783073898659340184e-01
1.350000000000000000e+01,9.781643642449507903e-01,9.784027726164439276e-01
1.400000000000000000e+01,9.764286504166083125e-01,9.775984371627425285e-01
1.450000000000000000e+01,9.749275347348624887e-01,9.780548206910792963e-01
1.500000000000000000e+01,9.769927859634875977e-01,9.784890989434463782e-01
1.550000000000000000e+01,9.893590510795788884e-01,9.786081568126430152e-01
1.600000000000000000e+01,9.901980750813864640e-01,9.785747251656746748e-01
1.650000000000000000e+01,9.217892819435404839e-01,9.784136464817594359e-01
1.700000000000000000e+01,9.211251511643201439e-01,9.780869675199765911e-01
1.750000000000000000e+01,9.612936167675237842e-01,9.777857614276009857e-01
1.800000000000000000e+01,7.294007723337202487e-01,9.779895318770681634e-01
1.850000000000000000e+01,8.747640531520480822e-01,9.785314376366462952e-01
1.900000000000000000e+01,5.158571955767125017e-01,9.782411291232095962e-01
1.950000000000000000e+01,6.867391156294515575e-01,9.778401792108766255e-01
2.000000000000000000e+01,2.923001095085696610e-01,9.785061980527417491e-01
2.050000000000000000e+01,4.254979241882882457e-01,9.780188976881658558e-01
2.100000000000000000e+01,2.198875830288187228e-01,9.781956768622402931e-01
2.150000000000000000e+01,1.200312574913142694e-01,9.782638147033532183e-01
2.200000000000000000e+01,2.137521805581965584e-01,9.780632881865138906e-01
2.250000000000000000e+01,3.348790335489937320e-02,9.782993987027186478e-01
2.300000000000000000e+01,5.550569077707168120e-02,9.781049141094155797e-01
2.350000000000000000e+01,9.665584159447893065e-02,9.781884554424257194e-01
2.400000000000000000e+01,1.399640774976251834e-02,9.782793724873628527e-01
2.450000000000000000e+01,1.683294021819214947e-02,9.779763231782687694e-01
2.500000000000000000e+01,5.237170070895968976e-02,9.784579858524644624e-01
2.550000000000000000e+01,2.774730951850812311e-02,9.779457409020542169e-01
2.600000000000000000e+01,9.237387588811873940e-03,9.782437605443099482e-01
2.650000000000000000e+01,2.480873161222918455e-02,9.783581144329207557e-01
2.700000000000000000e+01,3.193418744835074818e-02,9.778979460930707912e-01
2.750000000000000000e+01,2.174295743848819740e-02,9.783042481399470969e-01
2.800000000000000000e+01,1.659353487160641905e-02,9.783685462425555368e-01
2.850000000000000000e+01,2.134978515966989843e-02,9.779081000569634918e-01
2.900000000000000000e+01,2.514573133222031132e-02,9.781690365759623251e-01
2.950000000000000000e+01,2.346553289933661635e-02,9.784690645348081972e-01
3.000000000000000000e+01,2.053688758202532050e-02,9.780826946047536108e-01
3.050000000000000000e+01,2.017739262897455532e-02,9.779215574654176457e-01
3.100000000000000000e+01,2.180788805194699975e-02,9.783234964967311154e-01
3.150000000000000000e+01,2.297100594015510922e-02,9.784322123495758916e-01
3.200000000000000000e+01,2.258299196210655779e-02,9.780539193008610521e-01
3.250000000000000000e+01,2.152542521004818799e-02,9.779192190739791624e-01
3.300000000000000000e+01,2.108726321877196774e-02,9.782471989391725575e-01
3.350000000000000000e+01,2.152525923083636883e-02,9.784577681859280007e-01
3.400000000000000000e+01,2.213030236413071616e-02,9.782266219770124893e-01
3.450000000000000000e+01,2.224885102454265962e-02,9.779362883470670287e-01
3.500000000000000000e+01,2.191911990233197383e-02,9.780072257623693144e-01
3.550000000000000000e+01,2.160832453150629551e-02,9.783131228418169290e-01
3.600000000000000000e+01,2.161227265342247073e-02,9.784372456818872799e-01
3.650000000000000000e+01,2.182217928030971699e-02,9.782411739830980668e-01
3.700000000000000000e+01,2.196134755189316223e-02,9.779832528046119577e-01
3.750000000000000000e+01,2.190713962487456090e-02,9.779591558115521277e-01
3.800000000000000000e+01,2.176524888819408865e-02,9.781751215202889593e-01
3.850000000000000000e+01,2.170564924994933254e-02,9.783892573348280663e-01
3.900000000000000000e+01,2.178336912785150403e-02,9.783915548701802578e-01
3.950000000000000000e+01,2.190983812153324273e-02,9.781973071037881606e-01
4.000000000000000000e+01,2.195933371830793845e-02,9.779968771546130313e-01
4.050000000000000000e+01,2.188568959192749297e-02,9.779629248423713506e-01
4.100000000000000000e+01,2.175085848935620625e-02,9.781101668034727359e-01
4.150000000000000000e+01,2.166248717217589270e-02,9.783084482856647668e-01
4.200000000000000000e+01,2.168712959349661240e-02,9.784041197519146582e-01
4.250000000000000000e+01,2.180683598208399410e-02,9.783355960798152395e-01
4.300000000000000000e+01,2.194043609209450629e-02,9.781625173623701430e-01
4.350000000000000000e+01,2.200290214684463841e-02,9.780077615381265188e-01
4.400000000000000000e+01,2.195819057871339908e-02,9.779691364870594095e-01
4.450000000000000000e+01,2.183509137084493901e-02,9.780625632293634686e-01
4.500000000000000000e+01,2.170394318706203585e-02,9.782241943365633796e-01
4.550000000000000000e+01,2.163428156992597273e-02,9.783578607654829229e-01
4.600000000000000000e+01,2.165918996629367932e-02,9.783921371634127784e-01
4.650000000000000000e+01,2.176305341130757576e-02,9.783146503024400253e-01
4.700000000000000000e+01,2.189433981538990714e-02,9.781706503738526459e-01
4.750000000000000000e+01,2.199294418721731148e-02,9.780336563138241068e-01
4.800000000000000000e+01,2.201731838464826563e-02,9.779675452443543637e-01
4.850000000000000000e+01,2.195984850454668624e-02,9.779989943579913136e-01
4.900000000000000000e+01,2.184626593365979197e-02,9.781103645421691528e-01
4.950000000000000000e+01,2.172214305004382950e-02,9.782521805670161275e-01
