#Electron Neutrino Suvival Probability Scenario: Standard 
#E [MeV], Pee, Peebar
1.000000000000000000e+00,2.665831183292799444e-02,6.960887005845703968e-01
1.500000000000000000e+00,2.535035093407289608e-02,8.774008677771072406e-01
2.000000000000000000e+00,1.706463138899150245e-02,5.714342201807187660e-01
2.500000000000000000e+00,1.863450264643939924e-02,2.751279575765352980e-01
3.000000000000000000e+00,2.472502620458882916e-02,4.546715201228068715e-03
3.500000000000000000e+00,2.301167584573893254e-02,9.357536857096004912e-03
4.000000000000000000e+00,2.254746894987436079e-02,1.524196935447585943e-02
4.500000000000000000e+00,2.270982612864380634e-02,2.604116303293829704e-02
5.000000000000000000e+00,2.279434119446510643e-02,1.899890314155805449e-02
5.500000000000000000e+00,1.982989324938633224e-02,2.526400202965539687e-02
6.000000000000000000e+00,2.137485390350168935e-02,2.268619304472718756e-02
6.500000000000000000e+00,8.430733173979665374e-02,1.931911033527317079e-02
7.000000000000000000e+00,5.759495244079482212e-01,2.406424896637737731e-02
7.500000000000000000e+00,7.856576093856126874e-01,2.354070732353003015e-02
8.000000000000000000e+00,9.410373224180748064e-01,2.079688937142581961e-02
8.500000000000000000e+00,9.703203874439103593e-01,2.065826943076209954e-02
9.000000000000000000e+00,9.802765411956864128e-01,2.313613194924629690e-02
9.500000000000000000e+00,9.778363075373430746e-01,2.059190203273103537e-02
1.000000000000000000e+01,9.778412782579266604e-01,2.100613004225426739e-02
1.050000000000000000e+01,9.784868826774760775e-01,2.084274502275451635e-02
1.100000000000000000e+01,9.782690047804220024e-01,2.130755741103063094e-02
1.150000000000000000e+01,9.781054437849766581e-01,2.278480489925960306e-02
1.200000000000000000e+01,9.779663388667400037e-01,2.091135737601146349e-02
1.250000000000000000e+01,9.785723622383563081e-01,2.214374295539583981e-02
1.300000000000000000e+01,9.784673158135028803e-01,2.260007391138729727e-02
1.350000000000000000e+01,9.782358193172863148e-01,2.189072375570144668e-02
1.400000000000000000e+01,9.781717566918151086e-01,2.151999616740613019e-02
1.450000000000000000e+01,9.782702739537829650e-01,2.152816517914218908e-02
1.500000000000000000e+01,9.784621344018591405e-01,2.181741112371088365e-02
1.550000000000000000e+01,9.785084346495143137e-01,2.229886318451912430e-02
1.600000000000000000e+01,9.781492435141080355e-01,2.243762833595502881e-02
1.650000000000000000e+01,9.778769077954052591e-01,2.164374573017702197e-02
1.700000000000000000e+01,9.783562246586354760e-01,2.117190197028417931e-02
1.750000000000000000e+01,9.783192971713788877e-01,2.231540746528837271e-02
1.800000000000000000e+01,9.778972490284997265e-01,2.192534247858196617e-02
1.850000000000000000e+01,9.785080522586262486e-01,2.124923999801742180e-02
1.900000000000000000e+01,9.779076253397827045e-01,2.253719166876694269e-02
1.950000000000000000e+01,9.784393983822774477e-01,2.109607820078229778e-02
2.000000000000000000e+01,9.779461719891964222e-01,2.249213019782281275e-02
2.050000000000000000e+01,9.784639689383176631e-01,2.114547677021583194e-02
2.100000000000000000e+01,9.778657218547235352e-01,2.250203964724467598e-02
2.150000000000000000e+01,9.785551870227776616e-01,2.111917337681995521e-02
2.200000000000000000e+01,9.778502254296461693e-01,2.241895549217376438e-02
2.250000000000000000e+01,9.783884288011779340e-01,2.146661217385004150e-02
2.300000000000000000e+01,9.782509175000695389e-01,2.173207121721504320e-02
2.350000000000000000e+01,9.778709928116153804e-01,2.231341614264814588e-02
2.400000000000000000e+01,9.785612677295865147e-01,2.121358839686388054e-02
2.450000000000000000e+01,9.780959220858495007e-01,2.199531515028035900e-02
2.500000000000000000e+01,9.778864318914082254e-01,2.225558716856440578e-02
2.550000000000000000e+01,9.785518856834370949e-01,2.125165573264381491e-02
2.600000000000000000e+01,9.782688941802047955e-01,2.170315514169990356e-02
2.650000000000000000e+01,9.777622324156466371e-01,2.249275420397478520e-02
2.700000000000000000e+01,9.782545514480064375e-01,2.169530245428957782e-02
2.750000000000000000e+01,9.786447830523240521e-01,2.103984756441340531e-02
2.800000000000000000e+01,9.781062244791165483e-01,2.204020787388677460e-02
2.850000000000000000e+01,9.776661340168502079e-01,2.277255698131996908e-02
2.900000000000000000e+01,9.781482432118164816e-01,2.165851268180085665e-02
2.950000000000000000e+01,9.787907939039268701e-01,2.060484344461965822e-02
3.000000000000000000e+01,9.785405433581020329e-01,2.164189345171041445e-02
3.050000000000000000e+01,9.776589745694826972e-01,2.326157888399277285e-02
3.100000000000000000e+01,9.773760546787193526e-01,2.278313635656720182e-02
3.150000000000000000e+01,9.782138767468231411e-01,2.066412974567827243e-02
3.200000000000000000e+01,9.792221649847796527e-01,1.993571312282471641e-02
3.250000000000000000e+01,9.790915882862551989e-01,2.185832220529337899e-02
3.300000000000000000e+01,9.777644722613186845e-01,2.413746747855194386e-02
3.350000000000000000e+01,9.766100572202079944e-01,2.387439542527519665e-02
3.400000000000000000e+01,9.769675961446612211e-01,2.114166204261047621e-02
3.450000000000000000e+01,9.786875620142700960e-01,1.888006665466973599e-02
3.500000000000000000e+01,9.802049778689512216e-01,1.961464633443305017e-02
3.550000000000000000e+01,9.800124751424398317e-01,2.283289191114240557e-02
3.600000000000000000e+01,9.780626880151033209e-01,2.558239326214517551e-02
3.650000000000000000e+01,9.758395542852833504e-01,2.531641459859701460e-02
3.700000000000000000e+01,9.751341272466250709e-01,2.212639756457862594e-02
3.750000000000000000e+01,9.766260037021977647e-01,1.853510281132569881e-02
3.800000000000000000e+01,9.793821872342405310e-01,1.736087870769914554e-02
3.850000000000000000e+01,9.815497042799098404e-01,1.957724260519577708e-02
3.900000000000000000e+01,9.816332003653955862e-01,2.373484575495454774e-02
3.950000000000000000e+01,9.794461918326810013e-01,2.711109530123223532e-02
4.000000000000000000e+01,9.761757509068208494e-01,2.755979453182816341e-02
4.050000000000000000e+01,9.736314495207482045e-01,2.478593584852828435e-02
4.100000000000000000e+01,9.732119266333720820e-01,2.037270312261862948e-02
4.150000000000000000e+01,9.751887138866355276e-01,1.674683081618655311e-02
4.200000000000000000e+01,9.786356471080679409e-01,1.581974930967461335e-02
4.250000000000000000e+01,9.819486040348204270e-01,1.806479275138966889e-02
4.300000000000000000e+01,9.836255370330955206e-01,2.241619500399605336e-02
4.350000000000000000e+01,9.829165151714105431e-01,2.690007941581379347e-02
4.400000000000000000e+01,9.800822146320526951e-01,2.958784525337032623e-02
4.450000000000000000e+01,9.762128087538419763e-01,2.940374544175372584e-02
4.500000000000000000e+01,9.727457279005640167e-01,2.647623115816594153e-02
4.550000000000000000e+01,9.709112904119121534e-01,2.197135213909168217e-02
4.600000000000000000e+01,9.713186921029920429e-01,1.756040155727273122e-02
4.650000000000000000e+01,9.738045335204867925e-01,1.477894607909863156e-02
4.700000000000000000e+01,9.775530960848066719e-01,1.452033185070733534e-02
4.750000000000000000e+01,9.814066988708993744e-01,1.681067767413962910e-02
4.800000000000000000e+01,9.842402552261497739e-01,2.088945023053168093e-02
4.850000000000000000e+01,9.852789125857038810e-01,2.551803319091250355e-02
4.900000000000000000e+01,9.842775556405765069e-01,2.938517955073011167e-02
4.950000000000000000e+01,9.815353099359717115e-01,3.147663110656567786e-02
